global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
954.2075981865792	n/a	910512.140437	n/a	1186.9997929243607	n/a	n/a	1408968.5084024752	905.2200781922146	n/a	819423.3899623192	n/a	937.6479362894856	777.2994034898267	n/a	n/a	n/a	n/a	0.0875240562	-0.0611319724	0.0840934453	-0.0470486763	0.0526838886	0.0567987304	0.0992707078	-0.2012443943	0.2259830814	-0.1632647254	0.3392051224	-0.1419170358	0.1992808942	-0.1968824348	-0.0518529989	0.0399589605	-0.0927172531	-0.0231201216	0.0093741732	-0.0783931815	0.0571255758	-0.0110160619	-0.0276169296	0.1809151535	-0.0832672424	0.0070728713	-0.1084870291	0.0444852595	-0.0404302278	0.0516050265	-0.0835092524	0.0704566613	-0.0589809687	0.0253798419	-0.1135815303	0.0177469807	0.2168753634	-0.0402399786	-0.026565319	0.0040169601	0.1985744282	-0.2103025581	0.0023834406	0.0143666556	0.011294491	0.0118284921	-0.0624012514	0.1737408619	0.0080675664	0.0941087427	-0.21175309	-0.0823217582	0.0381492991	-0.0469169109	0.0073024439	-0.0409869799	0.1191083165	-0.1445792645	0.2057052573	-0.0210095017	0.0518514221	-0.1394264066	0.1059111983	-0.3687452396	0.4073117353	-0.093267805	0.0576457827	-0.1110840659	0.1343730654	-0.089652581	0.1052285281	-0.0215695416	0.0535729071	-0.0917300102	0.0647712953	-0.0020760253	-0.0712288647	0.0030488458	0.041784114	-0.0255529872	-0.1212764869	0.0863868943	-0.0700137768	-0.0647210055	0.0638097826	-0.0434204056	0.1415640158	-0.0388194938	0.0182294589	-0.0200720633	-0.0894509579	0.0206491796	-0.0700289039	0.0143099137	-0.0465670236	0.0607758542	-0.0991957637	0.0409481638	-0.1350993649	0.0439108406	-0.0877577707	-0.0771433768	0.0341633702	-0.1680949368	0.0343176643	-0.1168964544	0.2478620305	-0.0912253931	0.1005259887	0.1290883846	0.1290552057	0.1289999139	0.1289225186	6.537772499370931e-05	n/a	n/a	4.274246925353082e-09	-0.028458737566325	n/a	n/a	0.0008098997438689	0.0244835420845674	n/a	0.0005994438330067	n/a	-0.0013569717081185	n/a	n/a	1.84137221663404e-06	0.0003101366160007	n/a	9.618472058436566e-08	n/a	-0.000201789492989	n/a	4.071899948075768e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
953.2412685193952	-0.9663296671839134	908668.9160084658	0.933793025679773	1173.3214516379617	-13.678341286399018	187.09702034720797	1376683.2288738135	905.5440647267532	0.3239865345385624	820010.0531618501	0.104967274562307	935.1319628119531	766.8697445664367	1.340376	19.499798	0.0813770847857576	0.0361180502677905	-0.0813860241	-0.1134672316	0.0551137558	-0.160895794	0.0536869474	0.0674008297	0.0346777574	-0.1254727156	-0.0806997954	-0.1319933544	0.0582655942	0.0913599185	-0.0732343055	-0.0450953094	0.0587634893	0.0922564004	-0.0650828385	0.1109073626	-0.0425611514	-0.0863520767	0.0857106766	-0.0191656607	0.0435930151	0.0396981933	-0.0117932875	0.1049804932	-0.0109412489	0.0980769825	-0.0494815168	0.0103094086	0.04242022	0.0556954939	0.0339948761	0.0757555616	-0.1079057858	0.0882891733	-0.0043201858	0.0280735216	0.0539335362	0.0255984375	0.0768390229	0.0425876806	0.0869171251	-0.1691368569	0.0336077146	-0.1114397912	-0.0634560181	0.1347015496	-0.0757540147	0.0614188368	-0.0239429255	0.0808403149	0.1129522965	-0.0134260545	-0.1481923106	-0.0700044949	-0.0163591719	-0.0444924552	0.0937309429	-0.0262211255	-0.0117680791	0.0953049615	-0.1051595081	-0.1485594803	0.0272131441	0.0636517414	0.1308856628	0.1292123978	-0.0049212552	0.0173550104	0.0374390874	0.1200804746	-0.0983516434	0.0222396933	0.0478614382	-0.0887402271	-0.089169082	-0.0596479681	-0.1172757311	0.044269909	-0.0252707459	0.0151247325	0.0800472203	0.0241084119	-0.0681651827	-0.0571707576	-0.0119545845	-0.0889256177	-0.0732539484	0.0683140674	-0.0131589285	-0.012597615	0.0525553172	-0.0219287288	-0.0415074069	-0.0070884504	-0.082188492	-0.0349502404	0.1055563223	-0.0058354124	0.1059051598	-0.040452379	0.0868404371	-0.1814077224	-0.0035141163	-0.1791344139	0.1317992062	-0.2091074773	0.1018911173	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0134997021007023	0.0134343243757085	0.0001804810714317	0.0001822419568077	-0.040427937667431	-0.011969200101106	0.0001432617510603	0.0016344181440416	0.030662201400375	0.0061786593158076	0.0009401705947171	3.817583094081606e-05	-0.0008729998061915	0.000483971901927	2.3422880185483774e-07	7.621286616103966e-07	5.999423180469421e-12	-0.0003101366100012	3.599307849835382e-23	9.618471686308409e-08	1.4945431448410568e-11	0.0002017895079344	2.233659211791396e-22	4.071900551241997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
953.1701083243286	-0.0711601950666818	908533.2554030124	0.0050637733619282	1172.2878178267044	-1.033633811257232	1.0683988557741513	1374258.7278248966	905.2806897883304	-0.2633749384227712	819533.1273036352	0.0693663581891985	935.5184200425912	765.3967569129308	1.218716	17.729891	0.08757260045512	0.0407190364272428	-0.1034380378	0.0221868887	-0.066647975	0.0566861575	0.0283828966	0.0260324735	-0.060503343	-0.0860457321	-0.0929120402	0.0049095719	-0.0219722567	-0.0993656808	-0.1358499805	0.0555054748	0.0975571627	-0.0441489818	-0.0107095625	0.068941486	-0.1043633944	-0.0023901257	0.0526216794	-0.0362388805	-0.0781864324	-0.0772263041	0.0420834534	-0.0366462361	-0.1519702601	-0.0055261451	-0.184486024	-0.0874189264	0.0415289363	-0.0476582644	0.0761266045	0.07198492	0.0081505146	-0.0405114244	0.0209869424	0.0412090576	0.0298259208	0.0518681662	-0.0538223826	-0.0531722616	0.0018416996	-0.175827474	0.0708932075	0.0262297039	0.0974300429	-0.1930296475	0.0686138793	-0.0022162491	0.0072863227	0.0960522095	-0.0165251962	0.0717850946	-0.0053524395	-0.0453046757	-0.0243030384	0.1021607282	-0.0982703988	-0.0423568407	0.0203493939	0.1689145686	-0.0333399512	-0.1246315621	0.0235119202	0.1479572862	0.0638273457	0.0161089963	-0.0214272983	-0.0335594651	0.0616098846	0.0727743629	0.0042056825	-0.0165579658	-0.0110463623	0.0444248733	0.0704217413	0.0495944999	0.0187043151	0.0665030192	0.1387347048	-0.0108669539	0.1180390331	-0.0153032878	-0.0128130072	-0.0094195766	-0.1463948233	-0.0243716768	-0.0547595808	-0.0064247575	0.0759250954	0.054516022	0.0634474461	-0.0259311897	-0.0322667774	0.0166836079	-0.0277467184	0.0038975919	0.0971795589	-0.0547058935	-0.0653028237	0.0607554098	0.2607308947	-0.1254142902	-0.0379257974	-0.1887641179	0.0368887464	0.0894504379	0.0468286401	0.1288230331	0.1279949812	0.1266188352	0.124700488	4.554758362473876e-05	-0.0134541545170775	0.0001810142737693	2.074582374052571e-09	-0.013390183483338	0.027037754184093	0.0007310401513194	0.0001792970137174	0.0448388047013708	0.0141766033009957	0.0020105184070476	0.0002009760811538	-0.0005269999618198	0.0003459998443717	1.1971589230524062e-07	2.777289597580707e-07	0.0003119997005869	0.0003119996945874	9.734381316631525e-08	9.734380942267881e-08	8.224504532917869e-08	8.223009989773028e-08	6.764247481198658e-15	6.761789329190702e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
954.3229312597416	1.1528229354130417	910732.2571281856	1.329000720414342	1166.3933627041904	-5.894455122514046	34.74460119133207	1360473.4765603892	905.3871977621454	0.1065079738150416	819725.9778715903	0.0113439484861855	935.714526322048	767.8220493303203	0.990622	14.411576	0.092362084406015	0.042498197249586	-0.1216256574	0.1055738967	-0.0947849211	0.1088885951	0.0387140114	-0.0295202755	-0.1219109791	0.0518279459	0.0498676551	0.083679177	-0.0312472358	-0.001681628	-0.0037894278	0.0674653883	0.096647947	-0.1657947259	0.0272609749	-0.0469930767	-0.0456563692	0.0300946878	-0.0051276709	-0.0962401617	-0.1378306199	0.0018951593	-0.0044831128	-0.1017067743	-0.1566438608	0.0961405747	-0.0156307315	-0.0584629419	0.1936279577	-0.0422232736	-0.0188294994	-0.0817326228	0.0603658168	-0.0383667908	0.0112787916	0.0462140587	-0.1320683712	0.077426552	0.1245470941	-0.1449181824	-0.114965982	0.0257030175	-0.0205982289	0.0362502309	0.0371507503	-0.077114647	0.0048088587	0.0006373717	-0.0897651994	0.0829981647	-0.1129657095	0.0592194975	0.0689771869	-0.0016892261	-0.0135756982	0.0712813074	-0.093532882	-0.0216344118	-0.0157558338	0.0057232513	0.0663452338	-0.0636707377	0.0785986254	-0.0072522458	0.0727907009	-0.0960478418	-0.1482483952	0.0794030263	-0.0073015995	-0.0729858762	0.1521686557	-0.0368873128	-0.1113296708	-0.020661144	-0.1264448227	0.0740300684	-0.0512049465	0.1068497787	0.0179997949	-0.1483954797	0.0545438225	-0.0806788465	0.0561854289	-0.0203713022	-0.1261182055	0.0067003823	-0.0239485292	-0.0912689216	0.1299181592	0.0430410283	0.0063378403	-0.0176104828	-0.0942837329	-0.0473982319	-0.0509800662	0.023964517	-0.0182385274	-0.0220713315	0.0080432154	0.075203523	0.0855841718	-0.0640026771	-0.0304677788	-0.0555008644	-0.0222958718	0.1569751439	0.1242097392	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0163141082196602	-0.0163596558032849	0.0002676383380019	0.0002661501270027	-2.979507874556475e-05	0.0133603884045924	0.0001784999783215	8.877467174544043e-10	0.0129508582810586	-0.0318879464203121	0.000167724730216	0.0010168411269047	-0.0008299998658494	-0.0003029999040295	9.18089418419468e-08	6.88899777310022e-07	-9.965361869035403e-12	-0.0003119997105522	9.93084371808248e-23	9.734381938469521e-08	-1.5929319115929458e-11	-8.226097464829462e-08	2.5374320749711564e-22	6.766867950087371e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
954.665316385808	0.3423851260663468	911385.8663100149	0.1172275745514682	1166.4816320245916	0.0882693204011957	0.0077914729240889	1360679.397850755	905.5964680700488	0.2092703079033526	820104.9629809469	0.043794061769964	935.9713150564476	780.6147248730956	1.107492	16.111809	0.0936414700169563	0.049800588127572	0.023184181	0.1404204948	-0.0420719573	0.0704966903	-0.0065726696	-0.0719600364	-0.0836538908	0.0779651929	0.0231148241	0.101534823	-0.0738556855	-0.0283065031	0.0695981909	0.013073383	0.0203795954	-0.0900752418	0.0193648059	-0.0104680237	-0.0556759336	0.0749733505	0.0300788701	0.0387256753	-0.1528268098	0.0168557971	-0.1424074558	-0.0183541681	-0.0073758913	0.019941263	0.1112079966	-0.076075406	0.1973078697	-0.1076242182	0.030800484	0.0064027237	0.0084297621	-0.0600294527	-0.0454697232	-0.1885369376	0.1782128446	0.1292866955	-0.0536441939	0.0722423332	0.1135878272	0.1641852683	0.0231906772	-0.0691393765	-0.0057393193	-0.0848142666	-0.0481629461	0.0505338766	0.1024350468	0.0232587878	-0.0980076259	0.0383756634	0.0176803218	0.0071390883	-0.074102518	0.0241127373	-0.0859810573	0.0758514915	-0.0549624511	0.0053879133	0.1255236701	0.0041757356	-0.0135068281	-0.0836847543	-0.013742027	0.0244073013	-0.1052931118	0.109257868	0.1016083298	0.1131026117	0.1286550327	-0.1070339695	-0.0837456726	-0.0332036282	-0.0279037862	-0.1205560059	-0.0369540253	-0.0814511447	0.0006224993	-0.1826886502	-0.0377725953	0.0054981329	-0.1488958823	0.0337980812	-0.0139394931	0.0770046985	0.0447961894	-0.0145723372	0.1067241544	0.0919703773	-0.0210303728	-0.0826189903	-0.0584806671	-0.0716019588	-0.0362879282	-0.043484103	0.2589688692	-0.0190558383	0.1500951722	0.0232213142	0.108762921	-0.0214401406	-0.0256824034	0.039487939	-0.0885781958	0.1402221864	0.131112432	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0048931073622355	0.0114210008574247	0.0001304392605852	2.3942499658363254e-05	-5.670989347095201e-05	-2.691481472538726e-05	7.244072517019227e-10	3.2160120174867253e-09	0.0352437339880253	0.0222928757069666	0.0012421207854186	0.0004969723072862	1.4012708101948104e-05	0.0008440125739513	7.1235722498798e-07	1.96355988350402e-10	0.0002539992461918	0.0002539992561571	6.451561706600264e-08	6.451562212839153e-08	-0.0001000017585776	-0.0001000017426482	1.0000351718612594e-08	1.0000348532693e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
954.7998383177164	0.1345219319084662	911642.7312515376	0.018096150164386	1166.8267095947265	0.3450775701348902	0.1190785294102001	1361484.5702236565	906.4571050233992	0.8606369533504221	821664.4832474018	0.7406959654722967	937.2484962394864	772.563518057979	1.145837	16.669643	0.0556831336507718	0.0271239374818587	0.1151448427	0.053261323	0.0176821206	0.1307075861	-0.0549288551	0.0257722388	0.0331517462	0.077105217	0.117802954	0.0704558206	-0.101150991	0.0491241258	0.0279928178	0.0819718035	-0.1223679059	-0.0424306815	0.0493645189	-0.1087782224	-0.0651233345	0.1066593708	-0.0339145228	0.0329004517	-0.0021677	-0.0684936123	0.0334427713	-0.1609193057	-0.0989128062	-0.0549523199	-0.1541659657	0.1227688024	-0.0620327843	0.0241062153	-0.0589770212	0.0041424182	-0.1975408538	0.0633343034	-0.0121835738	-0.1673208734	-0.1022767324	-0.0916753579	-0.1633826063	0.0050299732	0.1281302321	-0.0344081102	0.0585709989	0.097079561	0.0615911162	-0.0395698966	-0.0546072563	0.1572143246	0.011983457	-0.0992083919	-0.0233845417	-0.0005844478	0.1369504886	0.06201162	-0.1148006154	0.0546990203	-0.0714040523	0.0253430741	0.027087486	-0.0233257153	-0.0222901295	-0.0248677944	-0.0629536593	0.025196831	-0.0304014621	0.0925056152	0.153715376	0.0021209319	-0.0004838741	-0.1216050708	-0.0440992244	-0.0201276193	0.1863339948	0.1562818141	0.0762784674	-0.0809507215	-0.0337413656	0.0764552953	-0.1307719837	-0.1340473094	0.0267405512	-0.0911129969	0.1673033419	0.0426491132	-0.0714335635	0.1411850977	0.0126347438	0.0420594674	-0.065603991	0.093125782	0.0017186463	-0.0302564557	-0.016444301	0.0978252331	0.0213379236	0.0074476826	0.0428194404	0.0527236058	-0.0731503271	0.0857381696	-0.1329652028	0.0822619836	0.0922457728	-0.0376524826	0.0144459541	0.0839466675	0.0624824964	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0037583708832329	0.0011347364790026	1.2876268767792185e-06	1.4125351695932849e-05	-0.0123255217987008	-0.0122688119052298	0.0001505237455659	0.0001519184876102	0.0281130642395055	-0.0071306697485198	0.0007903443809345	5.084645106245544e-05	-0.0003579999981936	-0.0003720127062955	1.3839345364533774e-07	1.281639987066176e-07	3.1719267656882266e-08	-0.0002539675269241	1.0061119406889374e-15	6.449950473196536e-08	-0.0001769998357183	-7.69980771407e-05	3.1328941844305183e-08	5.928703883365186e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
953.7434519518122	-1.0563863659042454	909626.5721409586	1.1159521540683783	1168.669335715554	1.8426261208276171	3.395271021156233	1365788.0162418345	906.034012084744	-0.4230929386552589	820897.631054378	0.1790076347399426	936.4509557853976	768.4060163509131	1.07976	15.708362	0.117410252470947	0.0601851948278456	0.049296409	-0.0587753067	0.0554200523	0.1581866646	-0.0876818521	0.0027839962	0.0554132725	0.0759078057	0.0609770803	-0.0341189819	0.0438713711	0.0188308996	-0.063331584	0.0826755864	-0.0217274529	0.0529768206	-0.0991734748	-0.1188856115	-0.0521681595	0.1072814989	-0.0005540109	0.0549553287	0.1049379025	-0.0562752065	0.0118083374	-0.0885231948	0.0919427419	-0.0190525265	0.0688803762	0.0089783493	0.014754265	0.1248512059	-0.0066670172	-0.0164014769	-0.0034316639	0.0646231726	-0.0358802462	-0.1783776577	-0.0978751776	-0.1482922129	-0.0218738036	0.0517966089	-0.0688945539	-0.0818219018	-0.0269397506	-0.0638616678	0.1005020628	-2.42312e-05	0.0454885344	-0.0886856879	0.1068700096	-0.0265083984	0.0399966424	-0.1270309533	0.1331637196	-0.0376399023	-0.0645323009	0.0308026216	0.025691263	-0.0647779729	0.0900853522	0.0161659243	-0.079298921	0.0130752544	-0.0867438828	0.0515745731	-0.046458603	0.0132861674	0.0813450866	-0.0684458343	0.0774219013	0.0709130638	-0.0693279469	-0.0846741664	0.0569087398	-0.0389024577	0.1463946099	0.1310354614	0.1351148589	0.0367562258	-0.152366688	-0.1248819451	0.1124114719	-0.1208942254	-0.0447471407	-0.0199140604	-0.0542890358	0.0994394544	-0.0717059213	-0.0094749981	-0.1645058271	-0.0024085504	-0.0502438333	0.0784062401	0.0258699928	-0.0161112069	-0.0648021319	0.0561591911	-0.0492145639	0.0060070167	-0.0234890366	-0.0808800968	-0.0823434878	0.0032531069	-0.026883947	-0.0627545679	0.0031567207	-0.0048217811	0.0845357748	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.001681421704518	0.0020769491787149	4.313717890964499e-06	2.827178948424216e-06	0.0146578773024828	0.0269833991011836	0.0007281038270537	0.0002148533670146	0.003566636870488	-0.0245464273690175	1.2720898565924437e-05	0.0006025270965824	-0.0013199965544704	-0.0009619965562768	9.254373742884228e-07	1.7423909038137278e-06	0.000148007017461	0.0001479752981933	2.190607721770076e-08	2.1896688875408816e-08	-1.0902153747823307e-05	0.0001660976819704	1.188569563411778e-10	2.758843995596561e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
956.424939957462	2.68148800564984	914748.6657726348	7.190377924443954	1168.4989528031783	-0.1703829123757714	0.0290303368296497	1365389.8027021245	907.0970960383304	1.0630839535864425	822825.141641172	1.1301474923729813	936.4544327257804	770.1811162767062	1.308541	19.036663	0.0679019122380529	0.0411018338183133	-0.1325276786	-0.0259978595	0.0311960855	0.0023078561	0.0537918726	-0.0820203147	-0.0978495765	0.0250172698	-0.060569524	-0.0581559962	0.0792717603	0.0025525849	-0.0539140825	0.0843848547	0.0948716821	0.0740706072	0.0423304534	0.0696655304	0.1809640807	-0.013903931	-0.0881560871	0.0725931379	-0.0736586681	0.1499335792	0.0093658024	-0.0849500093	-0.0547565491	-0.074542794	0.0988103899	-0.0377725425	0.0855944271	0.0296633662	0.1087142946	-0.0423967602	0.0276408683	-0.0075393837	-0.158299352	0.1293375627	-0.1040562379	-0.0568363346	0.0662547348	-0.0989407464	-0.0554691939	0.0579208475	-0.119490502	-0.1455139093	-0.052565531	-0.0158559969	-0.0374520677	-0.0750932612	0.0978530339	0.1293292749	0.0427174114	-0.0170572799	-0.0001368632	0.0134310408	0.1491424318	-0.1058488941	0.0085943447	0.070503303	-0.1025402939	0.0350874058	0.0660069063	0.0034830077	-0.1613558707	-0.0634487542	-0.0760327832	0.0544800896	-0.088922258	-0.0050651301	-0.0442785208	-0.0889745072	0.1044816327	-0.1935979578	0.014420616	-0.0238668396	0.0764335821	0.1332434429	-0.0986782026	0.1033733689	0.0351032713	0.1264859264	0.0422964041	0.1066667016	0.0497940719	-0.0730744165	0.0602043265	-0.0909005963	-0.0498396137	-0.1021831355	-0.0159878204	-0.0798630966	-0.1323414648	0.1351176523	-0.0100320151	0.0061805491	-0.0752239478	-0.0233266207	-0.0214595134	0.0162774075	0.1012604862	-0.053312799	-0.0050563632	-0.0074253333	0.0227015907	-0.1111154098	0.0006079361	0.043561948	-0.034986191	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0031183553446254	0.0047997770491434	2.3037859721483724e-05	9.724140055353798e-06	0.0137688162671736	-0.0008890610353092	7.904295245050666e-07	0.0001895803013991	0.003551573169588	-1.5063700899999989e-05	1.2613671978937353e-05	2.269150848046604e-10	-0.0006480000107742	0.0006719965436962	4.515793547396389e-07	4.1990401396336333e-07	1.4110329527028398e-07	-0.0001478659141657	1.9910139936132944e-14	2.1864328572066953e-08	-0.0004349999049399	-0.000424097751192	1.8922491729772207e-07	1.798589025661766e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
955.0467699649076	-1.3781699925543762	912114.3328204032	1.8993525283773292	1167.3452050226383	-1.1537477805400158	1.3311339411010126	1362694.8276893457	906.8724058974487	-0.2246901408816484	822417.560578227	0.050485659409415	936.7592249495984	769.492651817241	1.06365	15.473991	0.0974935471671545	0.0464018167770725	-0.1088108736	0.0243328468	-0.0652955174	-0.0355651098	0.1253638196	0.1272501411	-0.0200867709	0.0083457992	-0.1149282618	0.0772643782	0.0578698736	-0.0866795359	-0.2034479683	-0.0115437811	0.0385949867	-0.0365394769	0.1156221334	0.0828879613	0.1879443207	-0.032242901	-0.1356590737	-0.1694551619	0.1840206675	0.0177193316	0.0817050284	0.0626469913	0.0458792495	0.1252714802	-0.0589924118	-0.0963312619	0.2875676839	-0.1367845038	0.056938484	-0.0056509589	0.090001401	-0.0119480926	-0.0457498072	0.0227720823	0.0437094252	-0.0399233402	-0.104976959	0.1176322624	-0.0269464268	-0.0352694971	0.014482845	0.0582598547	0.0190730843	0.0655298069	-0.069651633	0.0765188215	0.0878578451	0.0393575663	-0.0555311388	0.0775747373	-0.0334059654	0.0637184152	0.2258100553	-0.0082500203	-0.0809769137	-0.0999674619	0.0738940203	0.0492463974	-0.1574251069	0.0794656752	-0.1304628863	-0.064768208	0.1097976239	0.1179272123	-0.2291987369	0.0982228756	0.0001499984	-0.0192860056	-0.0509294124	0.0275832291	-0.2367486567	0.0196823192	-0.0014602986	0.0672896922	-0.0732113962	0.0339873388	0.0636794264	-0.1743912255	-0.0929108011	-0.0297330053	0.0179091544	-0.0437509643	0.0367387163	-0.1110450566	-0.0326633859	-0.1500302772	0.0460804216	-0.0441053366	-0.0404476079	0.0441881524	-0.0104961165	0.1832594762	-0.092342173	-0.1170800928	-0.0204295252	0.0962156612	-0.0733637954	0.1139752156	-0.0552783786	0.039759459	-0.0586854544	0.0412312719	-0.0325415358	-0.0166287345	0.0402236797	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0004781905744835	-0.0035965459191089	1.2935142548258884e-05	2.286662255248598e-07	-0.0128917700970987	-0.0266605863642723	0.0007107868652868	0.0001661977362364	0.0226349724957799	0.0190833993261919	0.0005123419798847	0.0003641761298429	-0.0001928895626736	0.0004551104481006	2.0712551997032894e-07	3.720638338841266e-08	0.0005080417302565	0.0005079006269612	2.581063996820183e-07	2.5796304686761024e-07	-0.0004349506688501	4.9236089800011856e-08	1.8918208433314933e-07	2.4241925387948315e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
953.909534194838	-1.1372357700696512	909943.3994278128	1.2933051967259124	1166.9440863591974	-0.4011186634409114	0.1608961821606231	1361758.500688702	905.8467196910038	-1.0256862064449024	820558.2795749521	1.0520321940913349	935.5333801043834	760.6716652992329	1.025179	14.914311	0.0848633808673247	0.0448441747125979	-0.0855728837	-0.0198228322	-0.0962882343	-0.1113137501	-0.0380120809	-0.028947302	-0.047180793	0.0298896709	-0.1999895545	0.0158613862	0.0382122882	-0.044415021	-0.1294384952	-0.0387425871	0.0940079033	-0.0415925841	-0.0519750677	0.0779872404	0.0852546375	-0.1514557709	-0.0788269019	-0.0123114288	-0.0586554334	0.0326197357	0.0408163913	0.0904765165	-0.1293589693	0.1006027211	-0.0694661694	0.0145206957	-0.1859877011	-0.0390404687	-0.0554998359	0.1297103689	0.0825117703	-0.0431432485	0.0667043174	0.0695470528	0.0044913744	0.0163249747	0.0589677352	-0.0507378705	0.0007244521	0.0498044071	-0.064515686	-0.1655206733	0.0089064506	-0.0296444053	0.0413222674	-0.1081924519	0.1522977673	0.0821663378	-0.0872609923	-0.0031247775	-0.1512848167	-0.0164586046	0.1499572434	0.0497657443	-0.0931327129	-0.0318530565	-0.0030695403	0.1233325307	0.0018988506	-0.0749536275	-0.0063787628	-0.0482971374	0.0438649521	-0.0723965885	0.0405182032	0.0323377478	0.0536996044	-0.0149308775	0.0340014402	0.0532906794	0.0693450527	-0.032755086	0.0585549645	0.0647944037	0.1458216026	-0.0738623272	0.1725129832	0.1470434252	-6.04408e-05	0.1951952151	0.0662353468	-0.0503901309	0.0627921841	-0.1298421351	0.0391894549	-0.0987124929	0.0038661275	0.0228205491	-0.0248386859	0.051303836	0.0183089085	-0.0306654617	-0.0070228262	-0.0041189204	0.0277540023	-0.0125505776	-0.1289840493	0.0221479265	0.028106934	0.0416708572	0.0494926969	-0.0038308696	-0.034606354	0.0684617715	-0.1078648157	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0050552624043547	-0.0045770718298712	2.09495865358005e-05	2.5555677976882065e-05	0.016873683839492	0.0297654539365906	0.0008859822480513	0.0002847212063151	0.0295924374902227	0.0069574649944427	0.0008757123566127	4.8406319148896937e-05	-0.0007959386564641	-0.0006030490937905	3.636682095215433e-07	6.335183448538767e-07	0.0005600867826245	5.204505236800004e-05	3.13697204070664e-07	2.7086874759878668e-09	-0.0002187770128802	0.0002161736559699	4.786338136478319e-08	4.6731049535392694e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
