global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
983.6208893295096	n/a	967510.0539253756	n/a	1021.288099156344	n/a	n/a	1043029.3814783782	925.5336464718266	n/a	856612.5307514361	n/a	928.545064274192	771.455015569774	n/a	n/a	n/a	n/a	-0.0345286968	0.1440205042	-0.0927713156	0.1525143001	-0.035959235	-0.1932226873	0.0355908567	-0.0240947784	0.1631212147	-0.0679009719	0.0829662573	0.218884675	-0.0128645809	0.0417962201	-0.0665333402	0.0743527051	0.1447590922	-0.1252567938	0.1095489907	-0.0271763145	0.0543643681	-0.014692604	0.1033361435	-0.0655630707	0.1013155614	-0.0667964149	0.1102214313	-0.105758334	0.0340745361	-0.0796032444	0.0055723187	-0.0643861434	-0.101502654	0.0925338897	-0.0149619041	-0.0095463679	0.0910222038	0.0258327992	-0.1374240289	-0.1005462713	0.0434355789	0.0014976752	-0.1148076117	0.0648453965	0.036151702	0.0141447258	0.0612399642	-0.0508784454	-0.112251566	0.0233841232	0.0637607887	-0.0763746143	0.0769481615	-0.0106293198	0.1446198293	0.0229698516	-0.1375870769	0.1114526505	-0.0551759226	0.0319341581	-0.0844318525	-0.0515337037	0.024385328	-0.0777630107	0.1292740597	-0.0062904006	0.0433555507	-0.004977365	0.058781905	-0.0144152994	0.0488384237	0.0679879815	-0.1100375488	0.0434344297	0.0756995398	-0.0576975546	0.2116305052	0.1396368143	-0.0958258319	0.0984999498	0.0178235588	0.0474316241	-0.0809881399	-0.0190717699	-0.0142646262	0.0964718527	-0.0963083142	0.0416022642	-0.0734650024	0.0867616185	-0.0333119707	-0.1673248635	0.002728743	-0.108522254	0.0926272861	-0.0630608472	0.2283366207	-0.0363741919	0.1144664368	-0.0437641734	0.0724906912	-0.0128622124	-0.0232261867	0.0006018363	-0.0228221091	0.0170479093	-0.0711321187	0.0186164579	-0.0718549261	0.0015136714	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0578027521983983	n/a	n/a	0.0033411581617094	-0.048911975675054	n/a	0.002392381364437	n/a	-0.0204880375211615	n/a	0.0004197596814685	n/a	-0.0006922353694019	n/a	n/a	4.79189806650985e-07	0.0008912063292307	n/a	7.942487212608588e-07	n/a	-0.0005936919580121	n/a	3.524701410082411e-07	n/a	0.0	0.0
981.5926194255636	-2.0282699039460117	963524.0705107392	4.1138788032531615	1008.3185045374906	-12.969594618853309	168.21038457738865	1016706.2065927216	924.759108493658	-0.7745379781686097	855179.4087419851	0.5999090796255178	927.397665778859	772.217354322448	1.265468	18.850206	0.0610380538431967	0.0296822288486689	0.0775181538	0.037084691	-0.0680360044	0.0817380138	0.0882759872	-0.0267454849	0.108778837	0.022104502	0.1279553618	-0.0485575459	0.0544397055	0.0260626289	-0.0717151764	-0.068699799	-0.0737304936	0.0850124976	0.0144206938	-0.0652131489	-0.0377396319	0.0178433657	-0.0183551724	-0.0511951878	0.0892110667	-0.1815242176	-0.0324713031	0.0270193562	0.1416480854	-0.0540430716	0.1833668726	-0.1322762911	0.07231376	-0.013135507	-0.0554301889	-0.0206066753	0.0818923183	0.0775962197	-0.0255570958	0.0832725738	-0.0753724855	-0.1646408795	0.0324289689	-0.0328776254	-0.151268242	-0.0002990779	0.1332765581	0.0479854807	0.0308485186	0.052262752	0.0475365771	0.0883313747	-0.0710002873	-0.1053319274	0.0965216099	0.0138783586	0.0326120972	0.0778189077	-0.0453053308	-0.0386349888	-0.0110697855	0.0460113423	-0.0625899375	-0.082299134	-0.0797588769	0.029261632	0.0667132959	0.128690109	0.101859001	-0.0095381297	0.1521150177	0.1655627271	0.0160728668	-0.0413780015	-0.1320111574	-0.0518221005	0.1041117025	0.0162227263	0.1608509058	0.0648966526	-0.0008530105	0.0720706329	-0.0354794706	0.1522655227	-0.1436138023	-0.0417994151	0.0953571908	-0.0829716294	-0.0083947615	0.0212790442	-0.0968594804	-0.032152597	-0.0745573499	-0.0688174684	0.0553106621	0.0399372602	0.1109991507	-0.0787419957	0.093930212	-0.1187824035	-0.0416226395	-0.0147174614	-0.0825908007	-0.1215221622	-0.1285452513	0.0638983613	-0.070700424	-0.0534455656	0.0975064714	-0.0292188802	-0.0583529224	-0.0933924487	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0497486531124309	0.0080540990859673	6.486851208658082e-05	0.0024749284865009	-0.0314744335595662	0.0174375421154878	0.0009906399678955	0.0003040678750294	-0.0205274705052431	-3.94329840815999e-05	0.0004213770453436	1.5549602335797111e-09	-0.001061844264681	-0.000369608895279	1.3661073546943661e-07	1.1275132424359335e-06	0.0006972377703953	-0.0001939685588353	4.861405084658091e-07	3.7623801816682e-08	-0.0004471298189734	0.0001465621390387	1.9992507501518547e-07	2.148046059959924e-08	0.0	0.0
980.3601629649586	-1.2324564606050217	961106.04912868	1.518948927287057	1004.8215543369558	-3.4969502005347977	12.228660705020362	1009666.356060136	924.6685703361204	-0.090538157537594	855011.9649674449	0.0081971579703022	927.2624114682956	765.9443582190474	1.151718	17.155802	0.0607997514095857	0.0292934722559396	0.0173955455	-0.0878193867	0.0459335999	0.0347504913	0.0348225764	0.073266253	0.08081975	0.0489288041	0.0340537721	-0.1026687217	0.0847223667	-0.1874209814	-0.0515080156	-0.0771437254	0.0165242878	0.0692676309	-0.1574604646	-0.011032806	0.0157691311	0.0846083329	-0.0424141536	-0.0805590062	-0.0811308982	0.1049091119	0.1098580051	0.0068205283	0.0252238165	0.1517478394	0.0519867381	0.0548516321	-0.0497054209	0.0136620485	0.003544707	0.0182587059	0.0012526087	-0.0100690417	0.0388375774	-0.1003664994	-0.0626078845	0.1051170586	-0.1212455844	-0.0257963532	0.0112132193	0.0261458243	0.0895190217	0.0144100439	-0.0306052851	-0.1170090729	-0.1461995515	0.2252091282	-0.0887976369	-0.0266417975	0.0423675865	0.0873563187	-0.1042691109	0.0213999721	-0.0112236404	-0.09826475	-0.0159716338	0.1386050693	-9.37813e-05	-0.0126535595	-0.0331789494	-0.0106617565	-0.03636911	-0.1721248604	-0.1276510985	0.0743651607	0.0830783976	-0.0114300868	0.0292252649	0.0324794255	-0.0379699964	-0.0681359282	0.0290367335	-0.0442830772	-0.0680860244	-0.2328987035	-0.0085199724	-0.0228182337	0.1110753229	-0.0028661754	-0.0717551488	0.0097100969	-0.0303702229	0.1361424199	0.0587324852	0.0002914139	0.0434397597	-0.0622110494	-0.078168323	0.0356659703	0.0166708834	0.067671796	0.0315564898	0.0897099764	0.0101555866	-0.1852669115	-0.0037606792	0.0611450908	0.0729460804	-0.0508323568	-0.1190794909	0.073019132	-0.0280475816	0.0612574982	0.0497850962	0.0404280021	0.0902965759	0.0658096759	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0399857957719262	0.0097628573405047	9.531338345104652e-05	0.0015988638635141	-0.0456550585008841	-0.0141806249413179	0.0020843843667191	0.0002010901237263	-0.0206728397126312	-0.000145369207388	0.0004273663017841	2.1132206456644167e-08	-0.0007429056518254	0.0003189386128556	1.0172183877025429e-07	5.519088075141224e-07	0.000359694863758	-0.0003375429066373	1.2938039501388617e-07	1.1393521382115707e-07	-0.000524866297888	-7.77364789146e-05	2.754846306586548e-07	6.042960154040051e-09	0.0	0.0
979.1617468963392	-1.1984160686193943	958757.7265850906	1.4362010735251654	1009.234443542154	4.412889205198212	19.47359113735491	1018554.1620318412	923.8982659280076	-0.7703044081127928	853588.0057847794	0.593368881158	926.9245275063812	761.4127284778556	1.07122	15.956713	0.0527315115276761	0.0260451670723801	0.070520584	0.0151681375	0.0873756829	-0.0107728978	0.0075036488	-0.0125206855	0.0793660222	0.111372524	-0.1079515456	-0.0372226676	0.0759478533	-0.1039959577	0.0763385849	-0.0684851951	-0.0998108633	-0.0357358972	-0.1419846316	-0.0618063221	-0.0931772923	-0.0377056213	0.0993625226	-0.0456773214	-0.0581337978	-0.0398804666	0.0460264563	-0.0144411381	0.0164986304	0.0048778605	-0.0063273058	-0.0718819481	-0.02427316	0.0014567903	-0.1046473342	-0.1087361503	-0.0136878757	0.1083407005	-0.037731815	-0.1319178317	0.1277882164	-0.0335063577	0.0098368414	-0.0564953887	-0.0386828383	0.0816184809	0.1437685603	0.0860374788	0.1136172803	0.0542954091	-0.1528376571	-0.0183388317	-0.0641321492	0.0010746178	0.1042269617	-0.0557697334	-0.1437354465	0.072846186	0.0580930314	0.0036104356	-0.070560346	-0.0127768299	0.0211835094	-0.0965341605	0.0151218214	0.1486673954	0.0141026426	-0.0321392168	0.088966023	-0.0494155402	0.0714852905	-0.1046126744	-0.0086481153	-0.159068585	-0.1690261151	-0.0566014081	0.0196916357	0.048175974	0.0798632282	0.0122534148	-0.1143219233	0.0789559083	0.1234258839	-0.059366777	0.0157744998	0.1910978266	0.0777435073	-0.0183999873	0.1272465259	0.0022461012	-0.0150686338	0.0062950288	-0.0535071778	0.1256001843	0.0863976657	0.0320757696	-0.0337435105	-0.0019508107	-0.0363724573	-0.0856674412	0.0197713982	-0.0752241914	-0.0309986704	-0.0086113716	-0.1928780653	-0.0196293229	-0.0481682313	-0.0184207923	0.052278448	-0.0090251991	-0.0263157314	0.0247074409	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0371319815477733	0.0028538142241529	8.144255625977422e-06	0.0013787840536641	-0.0276862325072784	0.0179688259936057	0.000766527470447	0.0003228787075884	-0.0127919192463537	0.0078809204662774	0.0001636331980052	6.210890739579154e-05	-0.0005408323773857	0.0002020732744396	4.083360824278228e-08	2.924996604286683e-07	0.0006381418302905	0.0002784469665325	4.072249955665094e-07	7.75327131711512e-08	-0.0005248275219874	3.8775900600010814e-08	2.754439278354349e-07	1.5035704673419184e-15	0.0	0.0
980.619392219832	1.457645323492784	961614.3923975928	2.124729889100383	996.4813383377808	-12.753105204373242	162.64169235381186	992975.0576554548	923.4573319969264	-0.4409339310811901	852773.4440188817	0.1944227315787117	926.4091719731996	751.1222541043298	1.173132	17.474777	0.0312240164403699	0.0158235027957725	-0.0121657561	-0.1318850573	0.0654456758	-0.0476962716	-0.1559508365	0.1721181191	-0.0677698391	-0.0317648585	-0.1857126189	-0.0527534338	-0.0177351232	0.0915528614	0.1377806495	-0.0236968032	0.0050649777	-0.1101836529	-0.0629040093	0.0238650735	0.0605692845	-0.0221283996	-0.0092543634	-0.0164102349	-0.042479148	0.0312972106	0.0170427916	-0.0120626029	0.1070447316	-0.0088076206	-0.0606061409	-0.1237739214	-0.1076712983	-0.0551908492	0.1515521007	0.0044377186	-0.1880998792	0.0353395338	0.0578428354	0.0051432226	0.04201747	-0.0205162164	-0.0959742024	0.0012571176	0.0085928899	-0.0158840012	-0.0422265661	0.1885918474	0.0080910812	-0.0376975709	0.1335239302	-0.11512484	0.0066719213	0.1435674012	-0.0083732429	-0.0804910705	-0.1431612253	-0.0117518135	0.0697652574	0.076544069	0.0215346024	0.0740035925	0.0530397095	-0.0522553211	-0.0322343235	-0.0271312008	0.1249466886	-0.0347148596	0.0513202951	0.0680892938	-0.0467523412	0.0823924333	0.1534182875	-0.0298533423	0.0211293654	0.0541668293	-0.0933266585	-0.1186703695	-0.0684173453	-0.0939806499	0.0273328866	-0.037012453	-0.0390234478	0.0563295251	0.1289489397	-0.0756200555	-0.1954629605	-0.0902248199	0.1055848184	0.0253896716	0.1032524269	-0.039470787	0.0406728936	0.1349820312	0.0473314921	-0.0586698124	0.0060014235	0.1138819601	0.0524675693	0.0478613165	0.0468986629	-0.0157642935	0.0121956604	-0.01381217	-0.0702530146	0.0946103215	0.0366916178	0.1134535411	-0.0255086643	0.0106247029	-0.0619654404	0.078614671	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0369781424484898	0.0001538390992835	2.3666468468358853e-08	0.0013673830189408	-0.0393940915532056	-0.0117078590459271	0.0015518944493023	0.0001370739634392	-0.0201310043498779	-0.0073390851035241	0.0004052573361348	5.38621701567708e-05	-0.0005208952632989	1.9937114086800048e-05	3.9748851811008086e-10	2.713318753272304e-07	0.0005820935663358	-5.604826395470006e-05	3.388329199695304e-07	3.1414078923357303e-09	-0.0003603482361962	0.0001644792857911	1.2985085132971234e-07	2.705343545438324e-08	0.0	0.0
982.1144268854656	1.495034665633625	964548.7474965666	2.235128651446245	1000.2446766409644	3.763338303183559	14.16271518420851	1000489.4131485872	924.9716540831828	1.514322086256357	855572.5608573791	2.293171380923805	927.9379328417916	754.7505919558142	1.347344	20.069815	0.0943107221307938	0.0423573884248765	-0.1782332177	-0.0221775269	-0.0237604192	-0.0435903396	0.0512614562	-0.0361052216	-0.217966496	-0.055400977	-0.0472620466	0.0542261849	-0.0674960291	-0.0104086385	0.0699088063	0.1640396336	0.1376864723	-0.0164400723	0.0478304302	0.0030824202	0.196566326	-0.1434421173	0.004151657	0.0992977698	0.0659844113	0.1094374696	-0.0978638598	-0.1491338486	0.0015621096	-0.0214915215	0.0784070729	0.1328539723	-0.1248510639	0.0726694357	-0.0464371185	0.0053330037	-0.0964245321	0.0089065094	0.1401015547	-0.1945802969	-0.0295264853	0.022761699	-0.0990014486	-0.0546864702	-0.0407527923	0.096683527	-0.0499848623	-0.0024099257	0.0599077463	0.040687597	0.0098406737	-0.0100688183	0.1788486975	0.0918770817	-0.091292988	0.0628721317	0.0324198687	0.0222653817	-0.0377123444	0.2271685203	0.1124636321	-0.0323413021	0.0146847399	0.1524196323	0.0090855149	-0.0693827748	-0.0330550213	-0.0520565214	0.0007657867	-0.0810444332	0.1435641191	-0.0485664083	0.1058354662	0.0992152004	-0.0691171819	-0.0118791699	-0.0269626629	-0.0020772785	0.0196560995	-0.1169272979	0.0008379163	-0.0660214164	0.0014782017	0.0366689249	0.0503226737	0.1083903652	-0.0820876059	-0.0670645498	-0.1035120365	0.1349029006	0.1074820719	2.56747e-05	0.0449300069	0.0054130312	-0.0033130762	-0.1497381762	-0.0278637588	-0.1132117654	-0.0959348633	0.1553012173	0.0317307877	0.09072195	-0.074079832	-0.0248152531	-0.0952505383	-0.0525639332	0.001051221	0.0694622834	-0.0511653395	-0.0832766165	-0.0358020839	-0.025680973	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0550487500308349	-0.018070607582345	0.0003265468583951	0.0030303648799573	-0.0723204976443128	-0.0329264060911071	0.005230254379521	0.0010841482180765	-0.0276259017274895	-0.0074948973776116	0.0007631904462569	5.617348670092927e-05	-0.000355982829342	0.0001649124339569	2.7196110873588905e-08	1.2672377478633548e-07	0.0002580238972829	-0.0003240696690528	6.657633156905654e-08	1.0502115040005614e-07	-0.0001329541176114	0.0002273941185848	1.767679738982598e-08	5.1708085166958095e-08	0.0	0.0
981.800066698252	-0.3143601872136514	963931.370968692	0.0988223273050019	1002.2833032047048	2.038626563740422	4.155998266388082	1004571.8198829342	925.68213670288	0.7104826196972454	856887.4182108095	0.5047855528918606	928.3798825213944	758.1030267289448	1.001807	14.922761	0.0915717126454306	0.0483397139795973	-0.1631104782	-0.0398500389	0.0278038483	-0.0162773858	0.1367254422	-0.0431981063	-0.1723572659	-0.0743455511	0.0974968341	-0.0396129539	-0.0800100599	0.1042985673	-0.0446368392	0.1480164508	0.0960731429	0.0951009528	0.0026330217	0.0211905163	0.0944317915	0.1858873637	-0.094095302	0.1520583993	-0.0139869109	0.1192908212	0.1175534795	0.0719363688	-0.1054356735	-0.0960422461	0.061307615	0.0195034551	-0.0251609337	0.0378739797	0.0364506587	-0.0832341897	0.0252208768	-0.2231719918	-0.0376699858	0.0826665917	0.0051674264	-0.0258491622	-0.0899895353	0.0850601062	-0.0597657243	-0.0939581183	0.0055161667	-0.0319317929	0.089672177	-0.1801463057	0.1127979518	0.0599838029	0.1289499402	-0.0306544954	-0.0516777528	0.1599114561	0.0159414612	-0.0158987106	-0.1195029168	-0.0976399942	0.1639099784	-0.1109778904	0.0422470781	-0.0439477749	-0.0178604415	-0.1851715673	-0.1063030346	0.0766009225	-0.0542761692	-0.0840627611	-0.0840737752	-0.0137928601	0.1261929429	0.0633766733	0.0831180044	-0.0351806109	0.0258030407	0.0759397258	-0.1730580874	0.0447386994	0.003941939	0.0279067494	0.0996139414	0.0202831226	-0.0901214357	0.0163132689	0.0202184002	-0.0263330227	-0.1456260224	0.0661778182	0.0812500625	-0.076740523	-0.0542732339	0.0041383717	0.0306404211	-0.0649595756	-0.054730874	-0.1165080604	-0.0260523979	0.0058379769	0.1288697852	0.0591954249	0.0355717059	-0.000591528	-0.0167386862	-0.062577946	-0.0159126873	0.0039975239	0.0434073092	-0.065117258	-0.0433763425	-0.0060169487	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0371078219337022	0.0179409280971327	0.0003218769009864	0.0013769904486633	-0.0308423276322145	0.0414781700120982	0.0009512491737728	0.0017204385875525	-0.0278321328022741	-0.0002062310747845	0.0007746276163234	4.25312562068112e-08	-0.0007019448803622	-0.0003459620510202	1.196897407461035e-07	4.927266150667034e-07	0.0004225918389666	0.0001645679416837	1.785838623611728e-07	2.708260743000968e-08	-0.0002613517941358	-0.0001283976765244	6.830476029800157e-08	1.6485963336864455e-08	0.0	0.0
981.3422639639851	-0.4578027342668065	963032.63904196	0.2095833435021642	1005.6334929440748	3.3501897393699664	11.223771289779805	1011298.7221309004	925.9001467150446	0.2180100121645409	857291.0816869411	0.0475283654039833	929.084815287628	758.5898208957033	1.105182	16.462605	0.0591321011800266	0.0269573766870231	-0.1345551224	0.0395512364	0.032791961	-0.0033146106	0.0243799155	-0.0744510836	-0.1533851426	0.0218188333	0.0825583613	-0.0323838889	-0.0237290483	0.0340858058	0.0306473473	0.1988520053	-0.0273832503	0.0236370403	0.0013674338	0.03173115	-0.1203131249	0.2459907733	0.1526946078	-0.0042982731	0.022608249	0.013214446	0.0479657344	-0.0215306699	0.0454212101	-0.1040789783	-0.0486387	0.2329118618	0.0208058931	-0.0890024448	0.1510542729	-0.0565982819	0.0326288013	-0.0560984346	-0.047852462	0.1631506829	-0.136218989	0.0262734065	0.0328768054	0.1749336578	-0.0006121186	0.0460270032	-0.223557154	0.0677034205	0.0294990067	0.1563032475	0.0085531194	0.0091053757	0.1812940308	-0.0017609863	0.0103220166	0.0159490845	0.006268883	-0.0687581688	-0.0931024342	-0.2885017293	-0.2065831863	-0.1593080539	0.0223499134	-0.0274724184	0.0548534386	-0.1063742745	0.131878108	0.0713319668	-0.1706239084	-0.140732874	-0.0072117459	0.0765728912	-0.0716986546	0.1522783281	0.1340430872	0.0455920488	-0.0955949883	0.0404523149	-0.0855773998	0.0120423973	0.165430896	-0.1076508604	-0.0064935807	-0.014831922	-0.0335612649	-0.0735516079	-0.1256860969	-0.1442837849	-0.046122674	0.0707596977	0.0357215746	0.0326343337	-0.0637887715	-0.0533436108	0.1428957685	-0.1529601059	0.0264228124	-0.0816203045	-0.0016990286	0.0990913711	-0.1291703859	0.0384891444	0.0088438302	-0.0537858245	0.1379944393	-0.1567779133	0.1161118317	-0.1086270918	0.1692249079	-0.0832823662	0.0392091928	0.0401936751	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0464080574251681	-0.0093002354914659	8.649438019672197e-05	0.0021537077939777	-0.0344396995517399	-0.0035973719195254	0.0011860929052141	1.2941084727389876e-05	-0.0215579264204279	0.0062742063818462	0.0004647441915485	3.93656657219996e-05	-0.0009559629504905	-0.0002540180701282	6.45251799517059e-08	9.13865162710502e-07	0.0008010451071476	0.000378453268181	6.4167326368511e-07	1.4322687619687993e-07	-9.461738470131705e-05	0.0001667344094344	8.952449487717025e-09	2.780036328946579e-08	0.0	0.0
985.1761012136752	3.833837249690077	970571.9504025776	14.698308057111175	1011.1001990823185	5.466706138243694	29.884876001911284	1022323.612584304	926.8113100220556	0.9111633070110656	858979.2043847989	0.8302185720433415	930.4333814369288	757.9389444244695	1.434061	21.361544	0.0799726298404745	0.0400651858630959	0.019813943	-0.0348854556	-0.115648178	-0.1111477485	-0.0737073977	0.0499248457	0.0014211625	-0.0382438912	0.1128213243	0.0620433089	0.0882225835	-0.0638195261	-0.0428187904	-0.0023173963	0.0831541695	0.0082218967	0.1255647172	0.0088978081	-0.0651579852	-0.0606952166	0.1831814371	-0.0200203409	0.0167643922	0.0593954778	-0.0103807599	0.0454354814	0.0029364707	0.126638885	-0.1532851531	0.0987519196	0.1345433013	0.0671148906	0.0380416416	-0.0512811174	-0.0841775339	-0.0521499444	-0.0277519317	-0.0462543395	0.082906857	-0.0993872657	0.1749912299	0.0391929419	-0.1154743239	-0.0737674294	0.0784284139	-0.0926697031	-0.0750168051	0.11957344	-0.1949552688	-0.1513920339	0.0009952986	0.0047369729	-0.0931902247	0.0132491573	0.1555241109	0.009437193	0.0510711295	0.0457620289	-0.229979628	-0.0171655466	-0.0040308383	0.0201912675	-0.1451667009	0.0519758112	-0.0403951144	-0.2233268681	-0.0651638151	0.0571865252	-0.033587162	-0.0379432922	-0.0645210677	-0.050024822	0.1265730793	-0.1349918358	-0.129960905	0.160150821	0.0529777814	0.1915682554	-0.0588884627	0.0133691293	-0.0458607846	0.0032293353	0.1171944895	0.0400075886	-0.0892491106	-0.0063687777	-0.1099827926	0.0413443001	-0.0596906503	-0.0389132823	0.1174749188	-0.147788479	0.0707587054	-0.0709406796	0.1250937833	0.1061857454	0.0341275175	-0.0445791203	-0.0368232744	0.0371479867	0.0063677298	-0.1816284903	-0.0161929048	-0.0375573423	0.1791528725	-0.0468566194	0.120145168	0.1503956131	-0.0265758911	-0.0477140118	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0425613076968858	0.0038467497282822	1.4797483472039942e-05	0.0018114649128689	-0.0553440431874179	-0.020904343635678	0.0030629631163307	0.0004369915828385	-0.049825395772828	-0.0282674693524001	0.0024825700639189	0.0007990498235888	-0.0008128579345013	0.0001431050159892	2.0479045601269192e-08	6.607380216817197e-07	0.0007101625815997	-9.088252554790004e-05	5.043308923043506e-07	8.259633449964703e-09	-0.0003997111856465	-0.0003050938009451	1.597690319309308e-07	9.308222737517893e-08	0.0	0.0
983.366566484252	-1.8095347294232624	967009.8040790268	3.27441593698892	1003.5435919124176	-7.556607169900872	57.10231192019726	1007099.7408684768	924.7676346851674	-2.0436753368882137	855195.1781611993	4.176608882605153	927.5375634675058	775.5554158021956	1.413287	21.052086	0.1031766026498589	0.0486940406904707	-0.055297566	-0.105897518	-0.000472624	0.1881091824	0.0931370507	0.0168941069	-0.0012525538	-0.0474739659	0.1488878602	-0.0885963524	0.0484180031	0.0885652851	0.0415006266	-0.0132722879	0.1275076494	0.0835453335	-0.0746623508	-0.0169472712	0.1544058518	-0.0014459384	-0.0591465519	0.003917327	0.055196891	0.0721925981	0.0916411378	-0.0031656132	-0.0762678033	0.026073741	-0.0394327929	-0.1026789916	0.0385518402	-0.2512921991	0.0046891512	0.0247970725	0.0231827915	-0.0289954792	0.1144096361	0.1623285176	0.03727957	0.0083284306	0.0190403071	0.0424492226	0.0846807902	-0.0087994188	-0.0103054483	-0.1092225689	0.1282043263	0.0505618698	0.0506675736	0.043616931	-0.0125658823	0.0602228094	-0.0024377145	0.1435380441	-0.0248592821	-0.0048553166	-0.111745431	0.0816015636	0.009390451	0.0243207981	-0.0775487214	-0.0027019156	0.1132496243	-0.2113453463	-0.0562691231	0.0200105003	-0.0224990144	0.0694402275	-0.2480960539	0.0439071508	-0.0326753615	0.0610311382	-0.1417149009	-0.0829361519	-0.0765770259	-0.0733087587	0.0020235551	0.0605958323	0.0565675366	0.0977315766	-0.0081191626	-0.0018638768	0.0683701297	-0.0065764195	0.1104079491	-0.0974484103	-0.039401849	0.0111301983	0.0466576581	-0.0906285784	-0.1058831677	-0.1057518285	-0.0717102096	-0.0452301155	-0.0268429171	-0.0173523164	0.0465667595	-0.2160482293	0.0781974796	0.0139212211	0.0358598492	-0.0158482257	0.0439604779	-0.0588058425	0.0272097537	-0.0917917586	0.07771301	0.0672079567	-0.0220452311	-0.1449865463	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0309911412492596	0.0115701664476262	0.0001338687516257	0.0009604508359315	-0.0312106643298477	0.0241333788575702	0.0009741055679104	0.000582419975083	-0.0171970668831846	0.0326283288896434	0.0002957391093847	0.0010646078461307	-0.0005329719230385	0.0002798860114627	7.833617941255458e-08	2.8405907074735684e-07	0.0005980248943822	-0.0001121376872175	3.576337743008414e-07	1.2574860894489867e-08	-9.48403152264177e-05	0.00030487087042	8.994685392246278e-09	9.29462476306986e-08	0.0	0.0
